iter	Passed	Remaining
608	1492	957
609	1493	954
610	1495	952
611	1498	949
612	1500	947
613	1502	944
614	1504	941
615	1506	939
616	1508	936
617	1510	933
618	1513	931
619	1515	928
620	1516	925
621	1518	922
622	1520	919
623	1521	916
624	1523	914
625	1524	911
626	1527	908
627	1529	905
628	1530	902
629	1532	899
630	1533	897
631	1535	894
632	1537	891
633	1539	888
634	1540	885
635	1543	883
636	1544	880
637	1546	877
638	1547	874
639	1549	871
640	1551	869
641	1553	866
642	1556	864
643	1558	861
644	1560	858
645	1562	856
646	1564	853
647	1566	850
648	1568	848
649	1572	846
650	1574	843
651	1576	841
652	1578	838
653	1579	835
654	1581	833
655	1583	830
656	1585	827
657	1587	825
658	1590	822
659	1591	819
660	1593	817
661	1595	814
662	1597	811
663	1599	809
664	1602	807
665	1604	804
666	1606	801
667	1607	799
668	1609	796
669	1612	794
670	1614	791
671	1615	788
672	1617	786
673	1619	783
674	1621	780
675	1622	777
676	1624	775
677	1626	772
678	1627	769
679	1629	766
680	1631	764
681	1633	761
682	1635	758
683	1636	756
684	1638	753
685	1640	750
686	1641	748
687	1643	745
688	1646	743
689	1647	740
690	1649	737
691	1651	734
692	1652	732
693	1655	729
694	1656	727
695	1658	724
696	1660	721
697	1662	719
698	1664	716
699	1666	714
700	1667	711
701	1669	708
702	1671	705
703	1672	703
704	1675	700
705	1676	698
706	1678	695
707	1680	692
708	1681	690
709	1683	687
710	1685	684
711	1686	682
712	1688	679
713	1689	676
714	1691	674
715	1693	671
716	1694	668
717	1696	666
718	1697	663
719	1699	661
720	1701	658
721	1703	655
722	1704	653
723	1706	650
724	1708	647
725	1710	645
726	1712	642
727	1714	640
728	1716	637
729	1717	635
730	1719	632
731	1721	630
732	1722	627
733	1724	624
734	1726	622
735	1727	619
736	1729	617
737	1731	614
738	1733	612
739	1735	609
740	1736	607
741	1739	604
742	1740	602
743	1742	599
744	1744	596
745	1745	594
746	1747	591
747	1749	589
748	1751	586
749	1753	584
750	1754	581
751	1756	579
752	1758	576
753	1760	574
754	1762	571
755	1764	569
756	1766	566
757	1767	564
758	1769	561
759	1771	559
760	1773	556
761	1775	554
762	1776	551
763	1778	549
764	1780	546
765	1781	544
766	1783	541
767	1784	539
768	1786	536
769	1788	534
770	1790	531
771	1791	529
772	1793	526
773	1795	524
774	1797	521
775	1799	519
776	1801	516
777	1803	514
778	1804	512
779	1806	509
780	1808	507
781	1810	504
782	1812	502
783	1814	499
784	1816	497
785	1818	495
786	1822	493
787	1824	490
788	1826	488
789	1828	485
790	1830	483
791	1832	481
792	1833	478
793	1835	476
794	1836	473
795	1838	471
796	1840	468
797	1842	466
798	1843	463
799	1845	461
800	1847	458
801	1848	456
802	1851	454
803	1852	451
804	1854	449
805	1856	446
806	1857	444
807	1859	441
808	1861	439
809	1862	436
810	1864	434
811	1866	432
812	1868	429
813	1869	427
814	1871	424
815	1873	422
816	1874	419
817	1876	417
818	1877	414
819	1879	412
820	1881	410
821	1883	407
822	1885	405
823	1886	403
824	1888	400
825	1890	398
826	1891	395
827	1893	393
828	1895	391
829	1897	388
830	1898	386
831	1901	383
832	1902	381
833	1904	379
834	1906	376
835	1908	374
836	1910	371
837	1911	369
838	1913	367
839	1915	364
840	1917	362
841	1919	360
842	1920	357
843	1922	355
844	1925	353
845	1926	350
846	1928	348
847	1929	345
848	1931	343
849	1933	341
850	1934	338
851	1936	336
852	1938	333
853	1939	331
854	1941	329
855	1943	326
856	1945	324
857	1946	322
858	1948	319
859	1950	317
860	1951	315
861	1953	312
862	1955	310
863	1957	308
864	1958	305
865	1960	303
866	1961	300
867	1962	298
868	1964	296
869	1965	293
870	1967	291
871	1969	289
872	1971	286
873	1973	284
874	1975	282
875	1976	279
876	1978	277
877	1979	275
878	1981	272
879	1983	270
880	1985	268
881	1987	265
882	1989	263
883	1991	261
884	1993	259
885	1997	257
886	1999	254
887	2001	252
888	2003	250
889	2005	247
890	2007	245
891	2009	243
892	2011	240
893	2012	238
894	2014	236
895	2016	234
896	2018	231
897	2020	229
898	2022	227
899	2023	224
900	2025	222
901	2029	220
902	2031	218
903	2032	215
904	2034	213
905	2036	211
906	2038	209
907	2040	206
908	2042	204
909	2044	202
910	2046	199
911	2048	197
912	2050	195
913	2052	193
914	2053	190
915	2055	188
916	2057	186
917	2059	183
918	2060	181
919	2062	179
920	2064	177
921	2065	174
922	2067	172
923	2068	170
924	2073	168
925	2075	165
926	2079	163
927	2082	161
928	2092	159
929	2094	157
930	2104	155
931	2106	153
932	2107	151
933	2112	149
934	2116	147
935	2119	144
936	2129	143
937	2132	140
938	2134	138
939	2136	136
940	2138	134
941	2139	131
942	2142	129
943	2144	127
944	2147	124
945	2148	122
946	2151	120
947	2153	118
948	2154	115
949	2156	113
950	2157	111
951	2159	108
952	2161	106
953	2163	104
954	2164	102
955	2166	99
956	2168	97
957	2170	95
958	2171	92
959	2173	90
960	2176	88
961	2178	86
962	2180	83
963	2181	81
964	2183	79
965	2185	76
966	2186	74
967	2188	72
968	2190	70
969	2192	67
970	2193	65
971	2195	63
972	2198	61
973	2200	58
974	2201	56
975	2203	54
976	2205	51
977	2207	49
978	2208	47
979	2210	45
980	2212	42
981	2214	40
982	2215	38
983	2217	36
984	2219	33
985	2222	31
986	2224	29
987	2226	27
988	2228	24
989	2230	22
990	2231	20
991	2233	18
992	2235	15
993	2237	13
994	2239	11
995	2241	9
996	2243	6
997	2246	4
998	2247	2
999	2249	0
